"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"13428","1585469324.921372136","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13430","1585469324.921490323","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353643"
"13432","1585469324.990768422","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13434","1585469324.990855047","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13435","1585469325.059424381","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13437","1585469325.059548211","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13445","1585469325.131724488","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13446","1585469325.200815981","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13448","1585469325.200920804","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353743"
"13450","1585469325.270014583","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13452","1585469325.270101747","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13453","1585469325.339519415","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13455","1585469325.339668795","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13463","1585469325.419347443","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13465","1585469325.488443898","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13467","1585469325.488631406","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353843"
"13468","1585469325.557955666","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13470","1585469325.558054688","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13471","1585469325.627997967","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13473","1585469325.628146315","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13481","1585469325.713835576","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13483","1585469325.782319731","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13485","1585469325.782424468","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353943"
"13486","1585469325.851405578","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13488","1585469325.851508157","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13489","1585469325.920439883","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13491","1585469325.920603208","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13499","1585469325.995867199","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13500","1585469326.064735071","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13502","1585469326.064836681","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363043"
"13503","1585469326.134104061","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13505","1585469326.134208329","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13506","1585469326.203048504","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13513","1585469326.275951315","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13514","1585469326.345381110","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13522","1585469326.620480352","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363143"
"13523","1585469326.692469055","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13525","1585469326.694958238","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13527","1585469326.764231100","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13529","1585469326.764348154","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13537","1585469326.838125981","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13538","1585469326.906742092","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13540","1585469326.906833340","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363243"
"13541","1585469326.975514939","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13543","1585469326.975618769","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13545","1585469327.044402617","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13547","1585469327.044506308","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13555","1585469327.118187572","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13556","1585469327.186065788","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13558","1585469327.186172557","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363343"
"13560","1585469327.254523893","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13562","1585469327.548317142","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13563","1585469327.616855747","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13565","1585469327.616951693","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13573","1585469327.688287523","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13575","1585469327.756822080","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13577","1585469327.756945631","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37363443"
