"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"117","1585469026.888437850","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=21)",""
"118","1585469026.955106941","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=21)",""
"119","1585469026.955261150","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=21)",""
"121","1585469027.168070745","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=22) [tempreture]","323143"
"122","1585469027.168139794","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=22)",""
"123","1585469027.236185682","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=22)",""
"124","1585469027.236283163","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=22)",""
"126","1585469027.450030364","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=23) [tempreture]","323243"
"127","1585469027.450087221","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=23)",""
"128","1585469027.516908619","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=23)",""
"129","1585469027.516974716","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=23)",""
"131","1585469027.728007167","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=24) [tempreture]","323343"
"132","1585469027.728119595","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=24)",""
"133","1585469027.794884274","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=24)",""
"134","1585469027.794973376","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=24)",""
"136","1585469028.299825240","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=25) [tempreture]","323443"
"137","1585469028.299872292","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=25)",""
"138","1585469028.366679724","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=25)",""
"139","1585469028.366743770","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=25)",""
"141","1585469028.575090006","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=26) [tempreture]","323543"
"142","1585469028.576117375","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=26)",""
"144","1585469028.642885929","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=26)",""
"145","1585469028.642955020","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=26)",""
"146","1585469028.850518721","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=27) [tempreture]","323643"
"147","1585469028.850610593","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=27)",""
"149","1585469028.917551149","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=27)",""
"150","1585469028.917618488","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=27)",""
"152","1585469029.442360714","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=28) [tempreture]","323743"
"153","1585469029.442415162","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=28)",""
"154","1585469029.509713078","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=28)",""
"155","1585469029.509780588","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=28)",""
"157","1585469030.730610526","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=29) [tempreture]","323843"
"158","1585469030.730692898","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=29)",""
"159","1585469030.797509334","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=29)",""
"160","1585469030.797609466","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=29)",""
